protocol;pkt_length;pkt_rate;pkt_count;ip_ttl;status
ICMP;89;6379;380416;64;DDOS-Attack
UDP;1341;25;1466;32;Normal
UDP;40;1000;64299;64;DDOS-Attack
ICMP;74;1435;88484;64;DDOS-Attack
UDP;76;7838;468302;64;DDOS-Attack
UDP;76;513;30330;64;DDOS-Attack
ICMP;69;1000;58033;64;DDOS-Attack
UDP;206;23;1406;64;Normal
ICMP;44;500;29492;64;DDOS-Attack
TCP;86;1000;60965;64;DDOS-Attack
ICMP;77;1621;93805;64;DDOS-Attack
UDP;86;8217;494042;64;DDOS-Attack
UDP;68;803;48674;64;DDOS-Attack
TCP;373;32;2008;128;Normal
ICMP;743;118;7148;128;Normal
UDP;85;5915;356150;64;DDOS-Attack
ICMP;72;1000;55661;64;DDOS-Attack
TCP;52;3960;241262;64;DDOS-Attack
UDP;214;82;4990;128;Normal
UDP;80;1000;57485;64;DDOS-Attack
UDP;659;74;4413;64;Normal
UDP;68;2002;116751;64;DDOS-Attack
TCP;89;1000;57921;64;DDOS-Attack
UDP;1159;183;10902;128;Normal
TCP;73;500;28140;64;DDOS-Attack
ICMP;64;1000;63459;64;DDOS-Attack
ICMP;93;2429;146462;64;DDOS-Attack
ICMP;73;2600;159485;64;DDOS-Attack
ICMP;67;1000;55413;64;DDOS-Attack
TCP;40;1342;83943;64;DDOS-Attack
UDP;77;3322;197667;64;DDOS-Attack
UDP;83;2261;133375;64;DDOS-Attack
UDP;822;56;3312;128;Normal
ICMP;83;5432;328770;64;DDOS-Attack
ICMP;79;15670;937618;64;DDOS-Attack
UDP;65;836;54613;64;DDOS-Attack
ICMP;77;1000;62181;64;DDOS-Attack
TCP;67;500;30002;64;DDOS-Attack
TCP;53;4078;243129;64;DDOS-Attack
ICMP;44;3455;205740;64;DDOS-Attack
ICMP;78;1358;81526;64;DDOS-Attack
TCP;759;1;252;64;Normal
UDP;64;500;31149;64;DDOS-Attack
ICMP;90;1057;61848;64;DDOS-Attack
ICMP;55;5640;335866;64;DDOS-Attack
TCP;505;50;2883;64;Normal
TCP;40;13;829;128;Normal
UDP;238;1;206;64;Normal
TCP;80;4738;287248;64;DDOS-Attack
UDP;91;1052;67920;64;DDOS-Attack
TCP;604;1;66;64;Normal
UDP;654;86;5002;32;Normal
UDP;59;3106;185663;64;DDOS-Attack
ICMP;45;1374;82986;64;DDOS-Attack
UDP;70;4670;281191;64;DDOS-Attack
UDP;63;1000;63148;64;DDOS-Attack
UDP;517;94;5445;64;Normal
UDP;68;4766;284121;64;DDOS-Attack
ICMP;40;500;28540;64;DDOS-Attack
UDP;387;119;7334;128;Normal
ICMP;47;1000;64642;64;DDOS-Attack
ICMP;64;1679;104070;64;DDOS-Attack
UDP;51;500;30304;64;DDOS-Attack
UDP;40;500;27567;64;DDOS-Attack
UDP;872;103;6101;64;Normal
ICMP;61;1000;59644;64;DDOS-Attack
TCP;936;87;5302;64;Normal
TCP;64;2188;134925;64;DDOS-Attack
ICMP;60;500;28781;64;DDOS-Attack
UDP;693;104;6384;64;Normal
UDP;56;3216;191966;64;DDOS-Attack
TCP;73;1229;70827;64;DDOS-Attack
ICMP;79;3758;226906;64;DDOS-Attack
TCP;548;80;4640;64;Normal
UDP;77;1480;88135;64;DDOS-Attack
UDP;74;6579;394175;64;DDOS-Attack
ICMP;73;713;40284;64;DDOS-Attack
UDP;66;500;25200;64;DDOS-Attack
ICMP;40;3987;241830;64;DDOS-Attack
ICMP;66;1000;64216;64;DDOS-Attack
TCP;405;1;1;64;Normal
ICMP;50;500;26691;64;DDOS-Attack
ICMP;82;1660;96374;64;DDOS-Attack
TCP;560;67;3964;128;Normal
ICMP;61;1048;59118;64;DDOS-Attack
UDP;627;32;1807;64;Normal
TCP;48;2070;119499;64;DDOS-Attack
TCP;400;1;1;64;Normal
ICMP;70;1333;84807;64;DDOS-Attack
UDP;65;1000;57697;64;DDOS-Attack
TCP;419;45;2684;64;Normal
TCP;965;7;603;64;Normal
TCP;738;108;6633;128;Normal
TCP;40;2745;162114;64;DDOS-Attack
UDP;439;103;6105;64;Normal
ICMP;59;500;29925;64;DDOS-Attack
UDP;80;1085;68696;64;DDOS-Attack
TCP;795;25;1366;128;Normal
UDP;54;1000;57800;64;DDOS-Attack
UDP;917;66;3958;64;Normal
UDP;68;4213;255241;64;DDOS-Attack
TCP;322;28;1618;32;Normal
ICMP;95;9222;548609;64;DDOS-Attack
TCP;231;85;5021;64;Normal
UDP;54;1000;63393;64;DDOS-Attack
TCP;528;106;6373;32;Normal
TCP;251;116;6908;128;Normal
UDP;73;4471;268194;64;DDOS-Attack
UDP;59;1000;58066;64;DDOS-Attack
ICMP;42;10281;612690;64;DDOS-Attack
ICMP;71;2123;128972;64;DDOS-Attack
UDP;70;2230;134087;64;DDOS-Attack
ICMP;83;1000;58436;64;DDOS-Attack
ICMP;65;1627;94285;64;DDOS-Attack
UDP;48;8758;528888;64;DDOS-Attack
ICMP;61;1011;57132;64;DDOS-Attack
UDP;64;500;34889;64;DDOS-Attack
UDP;108;1000;55329;64;DDOS-Attack
TCP;559;1;1;64;Normal
TCP;301;74;4313;64;Normal
ICMP;49;4228;251835;64;DDOS-Attack
UDP;76;6262;380328;64;DDOS-Attack
ICMP;52;2550;153661;64;DDOS-Attack
UDP;68;1000;61546;64;DDOS-Attack
UDP;75;500;34237;64;DDOS-Attack
UDP;57;500;33021;64;DDOS-Attack
UDP;97;2094;126840;64;DDOS-Attack
ICMP;48;500;29881;64;DDOS-Attack
ICMP;62;2159;127714;64;DDOS-Attack
TCP;567;158;9378;128;Normal
UDP;83;2642;161506;64;DDOS-Attack
UDP;462;1;216;128;Normal
UDP;80;500;27333;64;DDOS-Attack
ICMP;79;14359;862656;64;DDOS-Attack
TCP;357;1;70;32;Normal
UDP;74;1708;100507;64;DDOS-Attack
UDP;42;59;3663;64;Normal
TCP;87;2343;141453;64;DDOS-Attack
ICMP;80;500;29492;64;DDOS-Attack
ICMP;68;10912;651114;64;DDOS-Attack
TCP;501;1;235;64;Normal
TCP;1427;5;127;64;Normal
ICMP;61;500;31156;64;DDOS-Attack
UDP;40;500;33175;64;DDOS-Attack
UDP;63;2341;135957;64;DDOS-Attack
ICMP;365;25;1643;128;Normal
UDP;63;8224;493886;64;DDOS-Attack
ICMP;54;1000;64989;64;DDOS-Attack
UDP;78;1934;114746;64;DDOS-Attack
ICMP;57;1000;62342;64;DDOS-Attack
TCP;40;39;2466;128;Normal
UDP;713;126;7574;64;Normal
TCP;202;73;4546;128;Normal
ICMP;67;1617;93621;64;DDOS-Attack
UDP;88;1000;57062;64;DDOS-Attack
TCP;695;138;8439;128;Normal
ICMP;75;5581;334097;64;DDOS-Attack
TCP;892;178;10740;255;Normal
ICMP;58;1586;94629;64;DDOS-Attack
TCP;263;220;13132;64;Normal
UDP;76;1000;55196;64;DDOS-Attack
UDP;561;6;336;64;Normal
ICMP;710;1;1;64;Normal
TCP;40;133;7929;64;Normal
ICMP;58;1282;79667;64;DDOS-Attack
UDP;58;500;26248;64;DDOS-Attack
UDP;90;1000;57172;64;DDOS-Attack
TCP;57;2927;177065;64;DDOS-Attack
UDP;41;2697;160940;64;DDOS-Attack
UDP;64;1000;57246;64;DDOS-Attack
TCP;470;36;2306;64;Normal
TCP;905;100;6183;64;Normal
ICMP;79;5346;324362;64;DDOS-Attack
TCP;765;36;2215;32;Normal
ICMP;75;2895;176130;64;DDOS-Attack
UDP;470;37;2354;64;Normal
ICMP;55;500;31414;64;DDOS-Attack
UDP;74;500;32491;64;DDOS-Attack
TCP;697;45;2718;32;Normal
UDP;242;27;1799;64;Normal
UDP;40;5004;303516;64;DDOS-Attack
UDP;82;500;25495;64;DDOS-Attack
ICMP;96;3051;181023;64;DDOS-Attack
ICMP;95;2302;135879;64;DDOS-Attack
ICMP;63;1000;61972;64;DDOS-Attack
ICMP;76;171;10362;128;Normal
UDP;57;2243;134851;64;DDOS-Attack
TCP;57;500;31419;64;DDOS-Attack
UDP;72;2160;128074;64;DDOS-Attack
TCP;246;198;11724;32;Normal
ICMP;499;23;1376;64;Normal
TCP;567;97;5917;64;Normal
ICMP;81;500;25479;64;DDOS-Attack
UDP;84;3124;185261;64;DDOS-Attack
UDP;65;11221;671394;64;DDOS-Attack
UDP;85;2891;176452;64;DDOS-Attack
UDP;77;1000;55053;64;DDOS-Attack
TCP;569;39;2173;64;Normal
UDP;53;2693;157272;64;DDOS-Attack
TCP;598;1;150;64;Normal
UDP;51;1000;58571;64;DDOS-Attack
ICMP;98;10560;630349;64;DDOS-Attack
UDP;595;48;2954;64;Normal
ICMP;100;1000;60483;64;DDOS-Attack
ICMP;59;2221;138013;64;DDOS-Attack
ICMP;77;1000;60540;64;DDOS-Attack
ICMP;509;66;3945;64;Normal
UDP;597;58;3637;64;Normal
ICMP;67;4764;285249;64;DDOS-Attack
ICMP;98;1424;90039;64;DDOS-Attack
ICMP;79;4644;282761;64;DDOS-Attack
UDP;71;500;33422;64;DDOS-Attack
UDP;77;1000;59104;64;DDOS-Attack
TCP;1137;25;1574;64;Normal
ICMP;52;1000;59169;64;DDOS-Attack
UDP;63;580;35656;64;DDOS-Attack
TCP;1000;73;4412;32;Normal
TCP;58;1000;64066;64;DDOS-Attack
UDP;55;500;33113;64;DDOS-Attack
ICMP;71;5088;308265;64;DDOS-Attack
TCP;682;132;7791;64;Normal
ICMP;79;2086;125185;64;DDOS-Attack
TCP;250;12;531;32;Normal
UDP;688;64;4008;64;Normal
ICMP;62;1109;63308;64;DDOS-Attack
UDP;58;513;28703;64;DDOS-Attack
TCP;49;55;3204;64;Normal
UDP;76;500;33488;64;DDOS-Attack
ICMP;89;3448;204023;64;DDOS-Attack
TCP;364;25;1601;64;Normal
UDP;68;1000;59726;64;DDOS-Attack
UDP;56;1508;92538;64;DDOS-Attack
ICMP;63;1000;58897;64;DDOS-Attack
TCP;413;117;7093;128;Normal
ICMP;72;500;34349;64;DDOS-Attack
UDP;70;4898;291480;64;DDOS-Attack
ICMP;85;500;29177;64;DDOS-Attack
TCP;543;47;2721;64;Normal
UDP;83;2864;168211;64;DDOS-Attack
ICMP;54;500;28705;64;DDOS-Attack
TCP;73;8539;511620;64;DDOS-Attack
UDP;71;4464;265966;64;DDOS-Attack
UDP;501;74;4309;64;Normal
ICMP;63;500;27289;64;DDOS-Attack
UDP;737;71;4414;64;Normal
UDP;658;38;2358;64;Normal
ICMP;287;2;288;128;Normal
ICMP;78;3637;220710;64;DDOS-Attack
ICMP;69;837;52573;64;DDOS-Attack
ICMP;78;5664;335354;64;DDOS-Attack
UDP;834;109;6616;128;Normal
UDP;66;500;29490;64;DDOS-Attack
TCP;50;1000;60776;64;DDOS-Attack
ICMP;82;1000;57934;64;DDOS-Attack
TCP;494;1;126;128;Normal
TCP;623;82;5003;64;Normal
ICMP;59;500;30780;64;DDOS-Attack
UDP;88;500;28777;64;DDOS-Attack
ICMP;95;1000;56912;64;DDOS-Attack
UDP;92;500;32958;64;DDOS-Attack
TCP;42;5248;314331;64;DDOS-Attack
UDP;71;500;30004;64;DDOS-Attack
UDP;77;500;32330;64;DDOS-Attack
ICMP;60;1000;64562;64;DDOS-Attack
TCP;60;1274;75158;64;DDOS-Attack
TCP;427;1;120;64;Normal
ICMP;72;3630;214774;64;DDOS-Attack
ICMP;79;5647;339448;64;DDOS-Attack
UDP;78;3746;227475;64;DDOS-Attack
ICMP;71;926;56235;64;DDOS-Attack
TCP;160;16;969;64;Normal
TCP;40;949;54407;64;DDOS-Attack
UDP;60;6934;415331;64;DDOS-Attack
ICMP;65;7524;453548;64;DDOS-Attack
UDP;69;1094;63054;64;DDOS-Attack
ICMP;106;1808;105643;64;DDOS-Attack
UDP;53;541;28107;64;DDOS-Attack
UDP;80;1975;113766;64;DDOS-Attack
ICMP;89;17266;1037700;64;DDOS-Attack
ICMP;84;1556;95379;64;DDOS-Attack
TCP;939;132;7989;64;Normal
TCP;464;74;4376;64;Normal
TCP;803;154;9225;64;Normal
ICMP;77;5783;350948;64;DDOS-Attack
TCP;50;2361;139404;64;DDOS-Attack
UDP;72;1000;60972;64;DDOS-Attack
UDP;929;11;694;64;Normal
ICMP;73;5065;302481;64;DDOS-Attack
ICMP;61;1848;110795;64;DDOS-Attack
UDP;903;8;400;64;Normal
ICMP;76;3889;232899;64;DDOS-Attack
TCP;67;2093;128990;64;DDOS-Attack
UDP;373;75;4659;255;Normal
UDP;705;1;64;128;Normal
ICMP;521;82;4748;32;Normal
UDP;80;1000;58753;64;DDOS-Attack
TCP;60;1000;56847;64;DDOS-Attack
TCP;167;1;194;64;Normal
TCP;774;26;1629;32;Normal
ICMP;82;1000;60443;64;DDOS-Attack
ICMP;65;10655;640694;64;DDOS-Attack
UDP;93;500;30950;64;DDOS-Attack
TCP;457;53;2993;64;Normal
TCP;273;172;10452;32;Normal
TCP;1250;171;10429;64;Normal
UDP;40;96;5560;64;Normal
UDP;102;3069;180787;64;DDOS-Attack
TCP;486;76;4630;64;Normal
ICMP;40;16;1151;64;Normal
UDP;78;1190;67030;64;DDOS-Attack
ICMP;67;4738;285087;64;DDOS-Attack
TCP;47;837;45895;64;DDOS-Attack
UDP;76;1000;62777;64;DDOS-Attack
ICMP;575;1;1;64;Normal
ICMP;52;5846;352923;64;DDOS-Attack
TCP;60;3070;183709;64;DDOS-Attack
UDP;40;2347;136435;64;DDOS-Attack
UDP;43;703;46634;64;DDOS-Attack
ICMP;52;1928;114251;64;DDOS-Attack
ICMP;89;1000;57790;64;DDOS-Attack
UDP;71;1177;70639;64;DDOS-Attack
UDP;555;13;614;64;Normal
UDP;92;1411;87771;64;DDOS-Attack
UDP;89;1000;58650;64;DDOS-Attack
UDP;40;1000;56619;64;DDOS-Attack
ICMP;65;500;26937;64;DDOS-Attack
ICMP;56;1000;62570;64;DDOS-Attack
UDP;85;13195;790650;64;DDOS-Attack
TCP;76;1000;61267;64;DDOS-Attack
TCP;68;2412;141357;64;DDOS-Attack
TCP;676;67;4039;128;Normal
UDP;69;1000;62632;64;DDOS-Attack
TCP;564;99;6030;64;Normal
UDP;80;500;27279;64;DDOS-Attack
UDP;65;1000;63538;64;DDOS-Attack
ICMP;54;4232;252376;64;DDOS-Attack
TCP;694;1;1;128;Normal
UDP;66;2868;167467;64;DDOS-Attack
UDP;58;3287;201657;64;DDOS-Attack
ICMP;40;11945;720148;64;DDOS-Attack
TCP;1019;110;6693;64;Normal
ICMP;62;3556;215358;64;DDOS-Attack
TCP;40;1;63;64;Normal
TCP;585;6;312;64;Normal
TCP;827;40;2260;255;Normal
TCP;313;53;3044;64;Normal
ICMP;60;1356;78272;64;DDOS-Attack
UDP;63;1172;66733;64;DDOS-Attack
UDP;52;500;32951;64;DDOS-Attack
UDP;65;500;25532;64;DDOS-Attack
UDP;64;578;30883;64;DDOS-Attack
ICMP;87;1000;56914;64;DDOS-Attack
UDP;506;138;8214;64;Normal
UDP;69;3312;194079;64;DDOS-Attack
ICMP;75;4239;253084;64;DDOS-Attack
TCP;62;1000;55134;64;DDOS-Attack
TCP;40;40;2416;64;Normal
TCP;72;1293;78782;64;DDOS-Attack
ICMP;68;1000;61723;64;DDOS-Attack
ICMP;83;1829;108556;64;DDOS-Attack
UDP;47;500;29744;64;DDOS-Attack
TCP;72;1735;106842;64;DDOS-Attack
ICMP;55;1807;112254;64;DDOS-Attack
ICMP;86;1384;81115;64;DDOS-Attack
UDP;48;1048;61538;64;DDOS-Attack
UDP;59;500;28724;64;DDOS-Attack
UDP;62;1000;58662;64;DDOS-Attack
ICMP;40;1531;86958;64;DDOS-Attack
ICMP;62;1703;102161;64;DDOS-Attack
ICMP;69;4544;270806;64;DDOS-Attack
TCP;671;21;1296;64;Normal
TCP;546;177;10542;128;Normal
UDP;594;18;1228;32;Normal
ICMP;40;1691;101763;64;DDOS-Attack
ICMP;45;671;44147;64;DDOS-Attack
ICMP;712;1;14;255;Normal
ICMP;68;1000;58047;64;DDOS-Attack
ICMP;73;6958;420053;64;DDOS-Attack
UDP;54;500;31405;64;DDOS-Attack
ICMP;60;500;29261;64;DDOS-Attack
ICMP;77;3020;183923;64;DDOS-Attack
UDP;509;48;2898;64;Normal
UDP;843;89;5387;64;Normal
UDP;69;1000;60181;64;DDOS-Attack
UDP;82;1148;65916;64;DDOS-Attack
UDP;61;2591;156185;64;DDOS-Attack
UDP;666;84;4922;64;Normal
ICMP;71;1000;55820;64;DDOS-Attack
UDP;62;3397;201621;64;DDOS-Attack
UDP;95;530;34447;64;DDOS-Attack
TCP;61;500;28324;64;DDOS-Attack
TCP;625;77;4717;32;Normal
TCP;177;19;1088;255;Normal
ICMP;64;2514;147267;64;DDOS-Attack
UDP;93;1000;61973;64;DDOS-Attack
ICMP;94;583;34569;64;DDOS-Attack
ICMP;40;1000;61231;64;DDOS-Attack
UDP;55;1775;109137;64;DDOS-Attack
UDP;58;500;31534;64;DDOS-Attack
ICMP;87;1000;62923;64;DDOS-Attack
UDP;70;2782;170545;64;DDOS-Attack
TCP;49;1534;91199;64;DDOS-Attack
UDP;83;5182;309532;64;DDOS-Attack
UDP;63;3333;196002;64;DDOS-Attack
ICMP;40;654;43564;64;DDOS-Attack
UDP;65;1714;102136;64;DDOS-Attack
TCP;724;56;3423;64;Normal
ICMP;113;1817;104885;64;DDOS-Attack
UDP;55;980;62439;64;DDOS-Attack
ICMP;65;1000;59494;64;DDOS-Attack
UDP;718;5;315;64;Normal
ICMP;55;4012;241395;64;DDOS-Attack
UDP;865;113;6954;64;Normal
UDP;65;8206;491696;64;DDOS-Attack
TCP;701;75;4595;64;Normal
UDP;187;5;496;64;Normal
ICMP;105;1211;72983;64;DDOS-Attack
UDP;47;3237;191258;64;DDOS-Attack
TCP;46;1;57;64;Normal
TCP;1046;1;1;32;Normal
TCP;75;4054;245487;64;DDOS-Attack
TCP;200;1;1;64;Normal
UDP;74;1000;58860;64;DDOS-Attack
UDP;174;151;9100;32;Normal
ICMP;447;135;8101;64;Normal
ICMP;70;1284;79029;64;DDOS-Attack
TCP;579;60;3733;64;Normal
TCP;352;1;1;64;Normal
ICMP;58;1000;61970;64;DDOS-Attack
ICMP;62;2630;162005;64;DDOS-Attack
TCP;342;1;8;128;Normal
ICMP;79;6257;372968;64;DDOS-Attack
UDP;76;6765;403609;64;DDOS-Attack
TCP;144;141;8423;64;Normal
TCP;574;26;1369;64;Normal
UDP;74;10632;642758;64;DDOS-Attack
TCP;585;81;4984;128;Normal
TCP;995;45;2779;64;Normal
UDP;71;2218;129423;64;DDOS-Attack
TCP;838;49;3011;128;Normal
ICMP;297;75;4676;64;Normal
TCP;62;1071;65346;64;DDOS-Attack
TCP;1074;60;3709;128;Normal
ICMP;650;74;4546;64;Normal
UDP;79;3116;191661;64;DDOS-Attack
UDP;53;3682;219954;64;DDOS-Attack
UDP;120;1000;63266;64;DDOS-Attack
UDP;79;3066;185754;64;DDOS-Attack
ICMP;69;1367;86864;64;DDOS-Attack
UDP;75;2480;152061;64;DDOS-Attack
UDP;856;84;5050;64;Normal
UDP;308;114;6841;128;Normal
UDP;49;1000;58925;64;DDOS-Attack
ICMP;411;110;6578;255;Normal
TCP;977;164;9677;32;Normal
TCP;956;1;185;64;Normal
UDP;923;49;3103;64;Normal
ICMP;61;4210;248663;64;DDOS-Attack
TCP;403;141;8478;64;Normal
TCP;71;1562;95933;64;DDOS-Attack
ICMP;84;7977;478531;64;DDOS-Attack
UDP;40;148;8869;64;Normal
ICMP;55;1315;79445;64;DDOS-Attack
UDP;79;500;31084;64;DDOS-Attack
UDP;82;661;37040;64;DDOS-Attack
ICMP;45;500;33963;64;DDOS-Attack
ICMP;40;6065;359260;64;DDOS-Attack
UDP;66;8261;491047;64;DDOS-Attack
ICMP;68;2096;130584;64;DDOS-Attack
ICMP;91;581;34421;64;DDOS-Attack
ICMP;59;1058;65736;64;DDOS-Attack
UDP;73;3019;178021;64;DDOS-Attack
TCP;373;139;8283;64;Normal
UDP;89;1120;67266;64;DDOS-Attack
UDP;522;54;3356;128;Normal
UDP;69;1242;75859;64;DDOS-Attack
ICMP;77;3381;207498;64;DDOS-Attack
TCP;83;1000;57543;64;DDOS-Attack
UDP;78;1168;73392;64;DDOS-Attack
UDP;61;1334;78761;64;DDOS-Attack
ICMP;51;500;34672;64;DDOS-Attack
ICMP;498;1;166;32;Normal
ICMP;103;1236;78709;64;DDOS-Attack
ICMP;65;1418;81388;64;DDOS-Attack
UDP;40;500;31863;64;DDOS-Attack
ICMP;79;10612;632376;64;DDOS-Attack
TCP;584;139;8256;128;Normal
TCP;1041;94;5632;128;Normal
TCP;648;48;3025;128;Normal
ICMP;53;1846;107887;64;DDOS-Attack
UDP;53;887;51363;64;DDOS-Attack
ICMP;93;1000;60434;64;DDOS-Attack
TCP;74;5099;301218;64;DDOS-Attack
UDP;60;4367;260502;64;DDOS-Attack
UDP;75;7824;470803;64;DDOS-Attack
ICMP;74;500;25577;64;DDOS-Attack
ICMP;62;1595;98415;64;DDOS-Attack
UDP;52;1000;57943;64;DDOS-Attack
ICMP;53;1000;59147;64;DDOS-Attack
ICMP;100;678;45209;64;DDOS-Attack
ICMP;71;2141;131758;64;DDOS-Attack
UDP;40;1;105;128;Normal
ICMP;63;2101;124310;64;DDOS-Attack
ICMP;78;1000;60443;64;DDOS-Attack
TCP;922;138;8213;128;Normal
UDP;60;2649;158260;64;DDOS-Attack
ICMP;73;1275;79025;64;DDOS-Attack
UDP;66;6870;410555;64;DDOS-Attack
UDP;68;1170;67671;64;DDOS-Attack
UDP;83;949;58177;64;DDOS-Attack
UDP;72;500;27006;64;DDOS-Attack
TCP;1054;112;6906;64;Normal
ICMP;80;1108;69435;64;DDOS-Attack
TCP;333;67;3976;64;Normal
TCP;159;105;6215;32;Normal
UDP;84;500;28943;64;DDOS-Attack
UDP;54;1560;95802;64;DDOS-Attack
ICMP;73;500;30351;64;DDOS-Attack
UDP;41;1000;57890;64;DDOS-Attack
UDP;59;3500;209754;64;DDOS-Attack
ICMP;91;23460;1410630;64;DDOS-Attack
ICMP;188;36;2327;128;Normal
ICMP;73;1000;55267;64;DDOS-Attack
ICMP;67;1000;61256;64;DDOS-Attack
TCP;321;120;7052;32;Normal
TCP;728;153;9054;64;Normal
ICMP;79;4195;254139;64;DDOS-Attack
ICMP;61;1000;62207;64;DDOS-Attack
UDP;53;2268;131361;64;DDOS-Attack
ICMP;53;3939;232000;64;DDOS-Attack
TCP;238;172;10330;32;Normal
UDP;62;500;28328;64;DDOS-Attack
UDP;69;1580;90342;64;DDOS-Attack
TCP;824;66;3856;64;Normal
